2025-12-16 12:13:57,022-INFO-root-28928::log::save_log_locally|555:: [FwSendLog]: Log salvo localmente em C:\TIR_TESTE\1765898037.json.
2025-12-16 12:13:57,022-INFO-root-28928::webapp_internal::WaitShow|4980:: Waiting show text 'Moedas'...
2025-12-16 12:14:02,656-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:14:02,762-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:14:02,762-DEBUG-root-28928::webapp_internal::wait_element|7623:: Waiting for element
2025-12-16 12:14:02,821-DEBUG-root-28928::webapp_internal::wait_element|7653:: Element found! Waiting for element to be displayed.
2025-12-16 12:14:02,987-INFO-root-28928::webapp_internal::input_value|2941:: Looking for element: Localizar
2025-12-16 12:14:03,421-INFO-root-28928::webapp_internal::input_value|2951:: Element: Localizar Found!
2025-12-16 12:14:03,422-INFO-root-28928::webapp_internal::input_value|2953:: Filling element: Localizar
2025-12-16 12:14:03,447-DEBUG-root-28928::webapp_internal::get_web_value|3232:: Current value:                     
2025-12-16 12:14:03,476-DEBUG-root-28928::base::double_click|259:: Click Type: ClickType.SELENIUM
2025-12-16 12:14:03,748-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:14:03,856-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:14:04,174-DEBUG-root-28928::webapp_internal::get_web_value|3232:: Current value: VTR                 
2025-12-16 12:14:04,174-INFO-root-28928::webapp_internal::input_value|3059:: Current field value: VTR
2025-12-16 12:14:04,389-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:14:04,498-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:14:04,498-INFO-root-28928::webapp_internal::SetKey|5822:: Key pressed: ENTER
2025-12-16 12:14:04,498-DEBUG-root-28928::webapp_internal::SetKey|5857:: Trying press key
2025-12-16 12:14:06,502-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
